# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
1.170000000000000000e+02 9.508785888595389803e-08 5.646182234453606680e-08 2.884180549840058374e-08 5.579982808705645959e-08 1.893414353336281371e-07 1.674914481297466850e-08 7.391519313363922443e-09 1.059586548780119811e-08
1.180000000000000000e+02 9.450351208622191926e-08 5.653568246350750835e-08 2.896190329509065873e-08 5.614432629837629687e-08 1.894005051397227904e-07 1.675189144550448780e-08 7.407304849236986421e-09 1.061313467428499498e-08
1.190000000000000000e+02 9.392173487271799065e-08 5.661000609340083147e-08 2.908335770058905149e-08 5.649432541761960615e-08 1.894601055053985804e-07 1.675466200163328956e-08 7.423211898282037930e-09 1.063051657361069759e-08
1.200000000000000000e+02 9.334469409821129455e-08 5.668478212271973252e-08 2.920617605494901264e-08 5.684991603087980622e-08 1.895202313687640619e-07 1.675745649160317118e-08 7.439239803651086700e-09 1.064801012041905966e-08
1.210000000000000000e+02 9.277237848676924119e-08 5.676001036466522986e-08 2.933036594390348891e-08 5.721116772165033163e-08 1.895808780135439670e-07 1.676027500341929748e-08 7.455387723578238175e-09 1.066561429971393000e-08
1.220000000000000000e+02 9.220477713365630247e-08 5.683568707706002973e-08 2.945593419568166198e-08 5.757816550726954046e-08 1.896420404962753709e-07 1.676311755162378486e-08 7.471654916344810818e-09 1.068332795347523218e-08
1.230000000000000000e+02 9.164187949018452326e-08 5.691180739576318933e-08 2.958288835767991298e-08 5.795099076498096230e-08 1.897037146962168623e-07 1.676598424406577170e-08 7.488040583352717522e-09 1.070115004437318828e-08
1.240000000000000000e+02 9.108149891739179200e-08 5.698836443448666605e-08 2.971123516260332931e-08 5.832972594403174103e-08 1.897658967689613646e-07 1.676887509014544104e-08 7.504543796947419186e-09 1.071907937624068155e-08
1.250000000000000000e+02 9.052580252519554858e-08 5.706536028474310606e-08 2.984098197423776080e-08 5.871445456029998417e-08 1.898285834550713574e-07 1.677179024422725842e-08 7.521163833057729806e-09 1.073711488362027111e-08
1.260000000000000000e+02 8.997478073599048080e-08 5.714278220925641338e-08 2.997213580576290670e-08 5.910526204573370069e-08 1.898917721726908910e-07 1.677472970717961457e-08 7.537899649618872901e-09 1.075525538176142986e-08
1.270000000000000000e+02 8.942842427500015317e-08 5.722063941966160094e-08 3.010470372056872978e-08 5.950224909338217529e-08 1.899554593415034416e-07 1.677769366812649072e-08 7.554750831696370388e-09 1.077349975953239091e-08
1.280000000000000000e+02 8.888672415840246529e-08 5.729891470007034348e-08 3.023869253079071956e-08 5.990548439223100881e-08 1.900196435347880210e-07 1.678068211600517004e-08 7.571715892440012905e-09 1.079184678176908067e-08
