# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
4.800000000000000000e+01 1.406866800930214213e-07 4.227686004261081664e-08 1.124492728138399336e-08 3.595481833850220026e-08 4.658600811601650827e-08 3.758282246260473063e-09 2.336776452932972323e-09 2.816837989514545384e-09
4.900000000000000000e+01 1.401747940525889571e-07 4.230574379699908420e-08 1.125680807593970275e-08 3.603173288098164587e-08 4.658508736382906733e-08 3.758328565875890699e-09 2.337717312034187548e-09 2.817608947664626590e-09
5.000000000000000000e+01 1.396415326854372956e-07 4.233506317739499537e-08 1.126894314729287354e-08 3.611058677320036611e-08 4.658433803206256344e-08 3.758387208296520443e-09 2.338681961745692385e-09 2.818401590542867839e-09
5.100000000000000000e+01 1.390910922528686905e-07 4.236482825488462214e-08 1.128133182119021674e-08 3.619140467971894544e-08 4.658375704697124667e-08 3.758457572504729775e-09 2.339670153715051448e-09 2.819215475787596624e-09
5.200000000000000000e+01 1.385232259537537232e-07 4.239502273573107480e-08 1.129397344594651462e-08 3.627419773966742932e-08 4.658334196787797364e-08 3.758539108751667094e-09 2.340681521571710554e-09 2.820050189995935043e-09
5.300000000000000000e+01 1.379399291135119277e-07 4.242566121163456338e-08 1.130686742805353006e-08 3.635899014043603605e-08 4.658309117548678404e-08 3.758631311015765095e-09 2.341715865979454782e-09 2.820905346755996262e-09
5.400000000000000000e+01 1.373432079984332814e-07 4.245672276923332012e-08 1.132001320397212695e-08 3.644579530367242071e-08 4.658300354805920724e-08 3.758733712527626644e-09 2.342772849074589462e-09 2.821780582408291943e-09
5.500000000000000000e+01 1.367328584745371577e-07 4.248822322874777019e-08 1.133341031334222780e-08 3.653463796539666560e-08 4.658307865342059736e-08 3.758845879961175400e-09 2.343852307743652376e-09 2.822675557357570797e-09
5.600000000000000000e+01 1.361109100363956407e-07 4.252014632286642027e-08 1.134705824585886271e-08 3.662553358811063205e-08 4.658331645689185058e-08 3.758967411472387424e-09 2.344953950653519286e-09 2.823589945483910822e-09
5.700000000000000000e+01 1.354794001212512975e-07 4.255250250527297118e-08 1.136095658839396053e-08 3.671850486796968943e-08 4.658371750751311248e-08 3.759097931649388275e-09 2.346077610283274341e-09 2.824523440466257830e-09
5.800000000000000000e+01 1.348381571804334429e-07 4.258527739499946117e-08 1.137510491165831628e-08 3.681357142060628038e-08 4.658428267646868148e-08 3.759237089324647975e-09 2.347223037201196331e-09 2.825475747547370955e-09
5.900000000000000000e+01 1.341870213908172225e-07 4.261848465246063204e-08 1.138950284368414607e-08 3.691075699504592671e-08 4.658501333130008674e-08 3.759384554262607385e-09 2.348390092605294035e-09 2.826446586241021019e-09
6.000000000000000000e+01 1.335280574047286455e-07 4.265210577609008732e-08 1.140414998610958999e-08 3.701008094073532935e-08 4.658591110329963091e-08 3.759540015448248957e-09 2.349578525843823499e-09 2.827435684226458347e-09
6.100000000000000000e+01 1.328589098787650774e-07 4.268615525127178347e-08 1.141904601920292611e-08 3.711156613415777229e-08 4.658697804917146544e-08 3.759703178539174485e-09 2.350788208379944017e-09 2.828442782404540611e-09
